Name,Primary Segment,Units Sold,Inventory,Revision Date,Age Dec.31,MTBF,Pfmn Coord,Size,Price,Material Cost,Labor Cost,Contribution Margin,2nd Shift & Over-time,Auto. Next Round,Capacity Next Round,Plant Utilization
NameAble,Primary SegmentTraditional,Units Sold999,Inventory189,Revision Date25-Nov-2020,Age Dec.313.1,"MTBF17,500",Pfmn Coord5.5,Size14.5,Price$28.00,Material Cost$11.59,Labor Cost$7.49,Contribution Margin28.9%,2nd Shift & Over-time0%,Auto. Next Round4,"Capacity Next Round1,800",Plant Utilization67%
NameAcre,Primary SegmentLow End,"Units Sold1,763",Inventory39,Revision Date26-May-2019,Age Dec.314.6,"MTBF14,000",Pfmn Coord3,Size17,Price$21.00,Material Cost$7.81,Labor Cost$7.12,Contribution Margin27.1%,2nd Shift & Over-time30%,Auto. Next Round5,"Capacity Next Round1,400",Plant Utilization130%
NameAdam,Primary SegmentHigh End,Units Sold366,Inventory40,Revision Date20-Apr-2022,Age Dec.311.7,"MTBF23,000",Pfmn Coord8,Size12,Price$38.00,Material Cost$15.98,Labor Cost$8.57,Contribution Margin33.4%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round900,Plant Utilization46%
NameAft,Primary SegmentPerformance,Units Sold358,Inventory78,Revision Date2-July-2021,Age Dec.312.5,"MTBF25,000",Pfmn Coord9.4,Size15.5,Price$33.00,Material Cost$15.87,Labor Cost$8.57,Contribution Margin22.8%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round600,Plant Utilization73%
NameAgape,Primary SegmentSize,Units Sold314,Inventory62,Revision Date26-May-2021,Age Dec.312.6,"MTBF19,000",Pfmn Coord4,Size11,Price$33.00,Material Cost$13.62,Labor Cost$8.57,Contribution Margin29.9%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round600,Plant Utilization63%
Name,,,,,,,,,,,,,,,,
NameBaker,Primary SegmentTraditional,Units Sold999,Inventory189,Revision Date25-Nov-2020,Age Dec.313.1,"MTBF17,500",Pfmn Coord5.5,Size14.5,Price$28.00,Material Cost$11.59,Labor Cost$7.49,Contribution Margin28.9%,2nd Shift & Over-time0%,Auto. Next Round4,"Capacity Next Round1,800",Plant Utilization67%
NameBead,Primary SegmentLow End,"Units Sold1,763",Inventory39,Revision Date26-May-2019,Age Dec.314.6,"MTBF14,000",Pfmn Coord3,Size17,Price$21.00,Material Cost$7.81,Labor Cost$7.12,Contribution Margin27.1%,2nd Shift & Over-time30%,Auto. Next Round5,"Capacity Next Round1,400",Plant Utilization130%
NameBid,Primary SegmentHigh End,Units Sold366,Inventory40,Revision Date20-Apr-2022,Age Dec.311.7,"MTBF23,000",Pfmn Coord8,Size12,Price$38.00,Material Cost$15.98,Labor Cost$8.57,Contribution Margin33.4%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round900,Plant Utilization46%
NameBold,Primary SegmentPerformance,Units Sold358,Inventory78,Revision Date2-July-2021,Age Dec.312.5,"MTBF25,000",Pfmn Coord9.4,Size15.5,Price$33.00,Material Cost$15.87,Labor Cost$8.57,Contribution Margin22.8%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round600,Plant Utilization73%
NameBuddy,Primary SegmentSize,Units Sold314,Inventory62,Revision Date26-May-2021,Age Dec.312.6,"MTBF19,000",Pfmn Coord4,Size11,Price$33.00,Material Cost$13.62,Labor Cost$8.57,Contribution Margin29.9%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round600,Plant Utilization63%
Name,,,,,,,,,,,,,,,,
NameCake,Primary SegmentTraditional,Units Sold999,Inventory189,Revision Date25-Nov-2020,Age Dec.313.1,"MTBF17,500",Pfmn Coord5.5,Size14.5,Price$28.00,Material Cost$11.59,Labor Cost$7.49,Contribution Margin28.9%,2nd Shift & Over-time0%,Auto. Next Round4,"Capacity Next Round1,800",Plant Utilization67%
NameCedar,Primary SegmentLow End,"Units Sold1,763",Inventory39,Revision Date26-May-2019,Age Dec.314.6,"MTBF14,000",Pfmn Coord3,Size17,Price$21.00,Material Cost$7.81,Labor Cost$7.12,Contribution Margin27.1%,2nd Shift & Over-time30%,Auto. Next Round5,"Capacity Next Round1,400",Plant Utilization130%
NameCid,Primary SegmentHigh End,Units Sold366,Inventory40,Revision Date20-Apr-2022,Age Dec.311.7,"MTBF23,000",Pfmn Coord8,Size12,Price$38.00,Material Cost$15.98,Labor Cost$8.57,Contribution Margin33.4%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round900,Plant Utilization46%
NameCoat,Primary SegmentPerformance,Units Sold358,Inventory78,Revision Date2-July-2021,Age Dec.312.5,"MTBF25,000",Pfmn Coord9.4,Size15.5,Price$33.00,Material Cost$15.87,Labor Cost$8.57,Contribution Margin22.8%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round600,Plant Utilization73%
NameCure,Primary SegmentSize,Units Sold314,Inventory62,Revision Date26-May-2021,Age Dec.312.6,"MTBF19,000",Pfmn Coord4,Size11,Price$33.00,Material Cost$13.62,Labor Cost$8.57,Contribution Margin29.9%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round600,Plant Utilization63%
Name,,,,,,,,,,,,,,,,
NameDaze,Primary SegmentTraditional,Units Sold999,Inventory189,Revision Date25-Nov-2020,Age Dec.313.1,"MTBF17,500",Pfmn Coord5.5,Size14.5,Price$28.00,Material Cost$11.59,Labor Cost$7.49,Contribution Margin28.9%,2nd Shift & Over-time0%,Auto. Next Round4,"Capacity Next Round1,800",Plant Utilization67%
NameDell,Primary SegmentLow End,"Units Sold1,763",Inventory39,Revision Date26-May-2019,Age Dec.314.6,"MTBF14,000",Pfmn Coord3,Size17,Price$21.00,Material Cost$7.81,Labor Cost$7.12,Contribution Margin27.1%,2nd Shift & Over-time30%,Auto. Next Round5,"Capacity Next Round1,400",Plant Utilization130%
NameDot,Primary SegmentPerformance,Units Sold358,Inventory78,Revision Date2-July-2021,Age Dec.312.5,"MTBF25,000",Pfmn Coord9.4,Size15.5,Price$33.00,Material Cost$15.87,Labor Cost$8.57,Contribution Margin22.8%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round600,Plant Utilization73%
NameDuck,Primary SegmentHigh End,Units Sold366,Inventory40,Revision Date20-Apr-2022,Age Dec.311.7,"MTBF23,000",Pfmn Coord8,Size12,Price$38.00,Material Cost$15.98,Labor Cost$8.57,Contribution Margin33.4%,2nd Shift & Over-time0%,Auto. Next Round3,Capacity Next Round900,Plant Utilization46%
